id,title,authors,venue,publishing_date,url,date_found,source_mode,relevance_tier,theme_groups,headline,summary,abstract,notes,is_read,is_starred,user_lists
wijk-2026-generalizations-backup,Generalizations of Backup Control Barrier Functions: Safety of Compositions and Dynamically Defined Sets,"D van Wijk, K Garg, R Bajcsy",arXiv:2603.18450,Mar 2026,https://arxiv.org/abs/2603.18450,2026-03-24,email,definitely,Safety & Verification,Backup CBFs extended to handle composed safe sets and dynamic constraints,Extends backup CBFs to compositions of safe sets and dynamically defined sets.,"Guaranteeing the safety of nonlinear systems with bounded inputs remains a key challenge in safe autonomy. Backup control barrier functions (bCBFs) provide a powerful mechanism for constructing controlled invariant sets by propagating trajectories under a pre-verified backup controller to a forward invariant backup set. While the standard bCBF method utilizes the same backup controller for both set expansion and safety certification, which can restrict the expanded safe set and lead to conservative dynamic behavior, this study generalizes the bCBF framework by separating the set-expanding controller from the verified backup controller, thereby enabling a broader class of expansion strategies while preserving formal safety guarantees. The authors establish sufficient conditions for forward invariance of the resulting implicit safe set and show how the generalized construction recovers existing bCBF methods as special cases.",Alert: Lindemann/Bansal/Tomlin/Bajcsy. Core - extends backup CBF theory,false,false,
unknown-2025-safety-guarantees,Safety Guarantees for Neural Network-Encoded Control Policies via CBF Verification,not specified,arXiv preprint,Nov 2025,https://arxiv.org/abs/2511.06341,2026-03-24,email,definitely,Safety & Verification,CBF-based framework can now verify safety of neural network controllers,Verifies safety of NN control policies using CBFs. Directly relevant to black-box controller verification.,"Control barrier functions (CBFs) are a popular tool for safety certification of nonlinear dynamical control systems. Recently, CBFs represented as neural networks have shown great promise due to their expressiveness and applicability to a broad class of dynamics and safety constraints. However, verifying that a trained neural network is indeed a valid CBF is a computational bottleneck that limits the size of the networks that can be used. To overcome this limitation, the authors present a novel framework for verifying neural CBFs based on piecewise linear upper and lower bounds on the conditions required for a neural network to be a CBF. Their approach is rooted in linear bound propagation (LBP) for neural networks, which they extend to compute bounds on the gradients of the network. Combined with McCormick relaxation, they derive linear upper and lower bounds on the CBF conditions, thereby eliminating the need for computationally expensive verification procedures.",Alert: Tomlin. Core - NN policy verification via CBFs,false,false,
unknown-2026-data-driven,Data-Driven Abstractions for Verification with Conformal Guarantees,not specified,arXiv preprint,Jan 2026,https://arxiv.org/abs/2601.01076,2026-03-24,email,definitely,Conformal Prediction|Safety & Verification,Conformal prediction meets data-driven verification for formal safety proofs,Data-driven abstractions for verification using conformal prediction guarantees.,"The paper proposes a scalable reachability-based framework for probabilistic, data-driven safety verification of unknown nonlinear dynamics. It uses Koopman theory with a neural network lifting function to learn an approximate linear representation of the dynamics and design linear controllers in this space to enable closed-loop tracking of a reference trajectory distribution. Closed-loop reachable sets are efficiently computed in the lifted space and mapped back to the original state space via NN verification tools. To capture model mismatch between the Koopman dynamics and the true system, conformal prediction is applied to produce statistically-valid error bounds that inflate the reachable sets to ensure the true trajectories are contained with a user-specified probability.",Alert: Lindemann citation. Core - data-driven verification + conformal prediction,false,false,
cosner-2026-adversarial-robustness,Adversarial Robustness for Matrix Control Barrier Functions,"W Cosner, AD Ames",arXiv preprint,Mar 2026,https://arxiv.org/abs/2603.18307,2026-03-24,email,definitely,Safety & Verification,Matrix CBF safety guarantees hold up under adversarial perturbations,Studies adversarial robustness of matrix CBFs for safety guarantees under perturbations.,"This paper presents novel theoretical results to guarantee multi-agent set invariance using Matrix Control Barrier Functions in sampled-data systems. It presents conditions under which heterogeneous control-affine agents applying zero-order-hold control inputs can compute control inputs to render safe sets defined by matrix inequalities forward invariant. It then introduces methods to guarantee set invariance while accounting for the presence of adversarial agents seeking to drive the system state to unsafe sets. Finally, the paper presents theoretical extensions of these set invariance results to systems having high relative degree with respect to the matrix-valued safe set function.",Alert: Lindemann/Tomlin/Bajcsy. Core - robustness analysis for matrix CBFs,false,false,
mestres-2026-dynamical-properties,Dynamical Properties of Safety Filters for Linear Systems and Affine CBFs,"P Mestres, SS Mousavi, AD Ames",arXiv:2603.17401,Mar 2026,https://arxiv.org/abs/2603.17401,2026-03-24,email,definitely,Safety & Verification,CBF safety filters can introduce spurious equilibria and stability issues,"Analyzes stability, boundedness, spurious equilibria of CBF-based safety filters.","This paper focuses on safety filters designed based on Control Barrier Functions (CBFs): these are modifications of a nominal stabilizing controller typically utilized in safety-critical control applications to render a given subset of states forward invariant. The paper investigates the dynamical properties of the closed-loop systems, with a focus on characterizing undesirable behaviors that may emerge due to the use of CBF-based filters. These undesirable behaviors include unbounded trajectories, limit cycles, and undesired equilibria, which can be locally stable and even form a continuum. The analysis offers the following contributions: (i) conditions under which trajectories remain bounded and (ii) conditions under which limit cycles do not exist; (iii) undesired equilibria can be characterized by solving an algebraic equation, and (iv) asymptotically stable undesired equilibria can exist for a large class of nominal controllers and design parameters of the safety filter (even for convex safe sets). Further, for the specific class of planar systems, explicit formulas are provided for the total number of undesired equilibria and the proportion of saddle points and asymptotically stable equilibria, and in the case of linear planar systems, an exhaustive analysis of their global stability properties is presented.",Alert: Lindemann/Bansal/Tomlin/Herbert. Core - stability/boundedness of CBF safety filters,false,false,
unknown-2026-safety-guaranteed,Safety-Guaranteed Imitation Learning from NMPC Experts,not specified,arXiv preprint,Mar 2026,https://arxiv.org/abs/2603.18910,2026-03-24,email,definitely,Imitation Learning|Safety & Verification,Policies cloned from NMPC experts now come with formal safety certificates,Safety guarantees for policies learned via imitation from NMPC experts.,"This paper presents a safety-guaranteed, runtime-efficient imitation learning framework for spacecraft close proximity control. The work leverages Control Barrier Functions (CBFs) for safety certificates and Control Lyapunov Functions (CLFs) for stability as unified design principles across data generation, training, and deployment. A nonlinear Model Predictive Control (NMPC) expert enforces CBF constraints to provide safe reference trajectories, a neural policy is trained with a novel CBF-CLF-informed loss, and at deployment a lightweight one-step CBF-CLF quadratic program minimally adjusts the learned control input to satisfy hard safety constraints while encouraging stability.",Alert: Tomlin. Core - safety guarantees for IL,false,false,
garg-2026-exact-time,Exact-Time Safety Recovery using Time-Varying CBFs,"K Garg, JW Usevitch",arXiv preprint,Mar 2026,https://arxiv.org/abs/2603.19119,2026-03-24,email,definitely,Safety & Verification,Time-varying CBFs guarantee exact recovery timing after safety violations,Time-varying CBFs that guarantee exact-time recovery to safe sets.,"This paper is motivated by controllers developed for autonomous vehicles which occasionally result into conditions where safety is no longer guaranteed. The authors develop an exact-time safety recovery framework for any control-affine nonlinear system when its state is outside a safe region using time-varying Control Barrier Functions (CBFs) with optimal barrier tracking. Unlike conventional formulations that provide only conservative upper bounds on recovery time convergence, the proposed approach guarantees recovery to the safe set at a prescribed time. The key mechanism is an active barrier tracking condition that forces the barrier function to follow exactly a designer-specified recovery trajectory. This transforms safety recovery into a trajectory design problem.",Alert: Lindemann/Tomlin. Core - time-varying CBFs for safety recovery,false,false,
unknown-2026-conformal-prediction,Conformal Prediction for Robot Actions Under Temporal Logic Constraints,not specified,arXiv preprint,Feb 2026,https://arxiv.org/abs/2602.14322,2026-03-24,email,definitely,Conformal Prediction|Formal Methods & STL,Robots get distribution-free guarantees on actions under temporal logic specs,Applies conformal prediction to robot actions with temporal logic constraints.,"The paper investigates how formal temporal logic specifications can enhance the safety and robustness of reinforcement learning control in aerospace applications. Using the AeroBench F-16 simulation benchmark, the researchers train a Proximal Policy Optimization agent to regulate engine throttle and track commanded airspeed. The control objective is encoded as a Signal Temporal Logic requirement to maintain airspeed within a prescribed band, and a conformal STL shield filters the RL agent's actions using online conformal prediction. The study compares three settings: PPO baseline, PPO with a classical rule-based STL shield, and PPO with the proposed conformal shield, under both nominal conditions and a severe stress scenario involving aerodynamic model mismatch, actuator rate limits, measurement noise, and mid-episode setpoint jumps.",Alert: Lindemann citation. Core - CP + temporal logic for robots,false,false,
unknown-2026-specification-aware,Specification-Aware Distribution Shaping for Robotics Foundation Models,not specified,arXiv preprint,Mar 2026,https://arxiv.org/abs/2603.17969,2026-03-24,email,definitely,Safety & Verification|VLA & Generalist Policies,Foundation model outputs can be shaped to satisfy formal specifications,Shapes robotics foundation model outputs to satisfy formal specifications.,"Robotics foundation models have demonstrated strong capabilities in executing natural language instructions across diverse tasks and environments. However, they remain largely data-driven and lack formal guarantees on safety and satisfaction of time-dependent specifications during deployment. In practice, robots often need to comply with operational constraints involving rich spatio-temporal requirements such as time-bounded goal visits, sequential objectives, and persistent safety conditions. The paper proposes a specification-aware action distribution optimization framework that enforces a broad class of Signal Temporal Logic (STL) constraints during execution of a pretrained robotics foundation model without modifying its parameters. At each decision step, the method computes a minimally modified action distribution that satisfies a hard STL feasibility constraint by reasoning over the remaining horizon using forward dynamics propagation.",Alert: Lindemann. Core - spec-satisfying foundation models,false,false,
unknown-2026-shifting-uncertainty,Shifting Uncertainty to Critical Moments: UQ for VLA Models,not specified,arXiv preprint,Mar 2026,https://arxiv.org/abs/2603.18342,2026-03-24,email,definitely,Conformal Prediction|VLA & Generalist Policies,VLA models focus uncertainty estimates where decisions matter most,Uncertainty quantification for VLA models at critical decision moments.,"Vision-Language-Action (VLA) models enable general-purpose robotic policies by mapping visual observations and language instructions to low-level actions, but they often lack reliable introspection. A common practice is to compute a token-level uncertainty signal and take its mean over a rollout. However, mean aggregation can dilute short-lived but safety-critical uncertainty spikes in continuous control. Successful rollouts may contain localized high-entropy segments due to benign noise or non-critical micro-adjustments, while failure rollouts can appear low-entropy for most timesteps and only exhibit brief spikes near the onset of failure. The paper proposes a unified uncertainty quantification approach for predicting rollout success versus failure that uses max-based sliding window pooling to preserve transient risk signals, applies motion-aware stability weighting to emphasize high-frequency action oscillations associated with unstable behaviors.",Alert: Majumdar. Core - UQ for VLA models,false,false,
